job_id,job_title,company,category,location,employment_type,experience_level,salary_min,salary_max,skills,description,employer_name,company_email,company_phone,company_website,application_url
86,Housekeeper,Metro Business Group,Hospitality,"Cagayan de Oro, Philippines",Freelance,Junior,34000,49000,"Cleaning, Organization, Customer Service",Provide friendly customer service and help maintain efficient daily hospitality operations.,Metro Business Group,hr@metrobusinessgroup.example,+63 900 185 1085,https://www.metrobusinessgroup.example,https://www.metrobusinessgroup.example/apply/86
87,Auditor,Pacific Horizon Corp.,Accounting & Finance,"Tagum City, Philippines",Contract,No Experience,42000,47000,"Auditing, Accounting, Financial Reporting","Handle financial records, prepare reports, and support accurate and organized accounting operations.",Pacific Horizon Corp.,hr@pacifichorizoncorp.example,+63 900 186 1086,https://www.pacifichorizoncorp.example,https://www.pacifichorizoncorp.example/apply/87
88,School Assistant,Evergreen Services,Education,"Iloilo City, Philippines",Full-time,Junior,26000,31000,"Administration, Communication, Organization","Support student learning through lessons, activities, assessment, and effective communication.",Evergreen Services,hr@evergreenservices.example,+63 900 187 1087,https://www.evergreenservices.example,https://www.evergreenservices.example/apply/88
89,Plumber,FutureTech Labs,Skilled Trades,Remote,Full-time,No Experience,28000,36000,"Plumbing, Pipe Installation, Maintenance",Perform skilled maintenance and installation tasks while following technical specifications and safety procedures.,FutureTech Labs,hr@futuretechlabs.example,+63 900 188 1088,https://www.futuretechlabs.example,https://www.futuretechlabs.example/apply/89
90,Electrician,Central Retail Group,Skilled Trades,"Manila, Philippines",Part-time,Entry Level,20000,35000,"Electrical Wiring, Safety, Troubleshooting",Perform skilled maintenance and installation tasks while following technical specifications and safety procedures.,Central Retail Group,hr@centralretailgroup.example,+63 900 189 1089,https://www.centralretailgroup.example,https://www.centralretailgroup.example/apply/90
91,Market Researcher,Golden Bridge Corp.,Marketing,"Cebu City, Philippines",Part-time,Mid Level,28000,38000,"Research, Data Analysis, Survey Design","Support marketing campaigns, create content, analyze audiences, and help improve brand visibility.",Golden Bridge Corp.,hr@goldenbridgecorp.example,+63 900 190 1090,https://www.goldenbridgecorp.example,https://www.goldenbridgecorp.example/apply/91
92,Elementary Teacher,Sunrise Enterprises,Education,"Baguio City, Philippines",Full-time,Entry Level,32000,37000,"Teaching, Lesson Planning, Communication","Support student learning through lessons, activities, assessment, and effective communication.",Sunrise Enterprises,hr@sunriseenterprises.example,+63 900 191 1091,https://www.sunriseenterprises.example,https://www.sunriseenterprises.example/apply/92
93,Software Developer,BlueSky Holdings,Information Technology,"Manila, Philippines",Contract,Experienced,36000,51000,"Python, SQL, Git","Develop, maintain, and improve technology solutions while working with the team on software and technical projects.",BlueSky Holdings,hr@blueskyholdings.example,+63 900 192 1092,https://www.blueskyholdings.example,https://www.blueskyholdings.example/apply/93
94,Graphic Designer,Evergreen Services,Design & Creative,"Cagayan de Oro, Philippines",Full-time,Experienced,53000,61000,"Photoshop, Illustrator, Graphic Design",Create visual materials and creative assets based on project requirements and client needs.,Evergreen Services,hr@evergreenservices.example,+63 900 193 1093,https://www.evergreenservices.example,https://www.evergreenservices.example/apply/94
95,Plumber,GlobalWorks Inc.,Skilled Trades,"Butuan City, Philippines",Full-time,Experienced,14000,24000,"Plumbing, Pipe Installation, Maintenance",Perform skilled maintenance and installation tasks while following technical specifications and safety procedures.,GlobalWorks Inc.,hr@globalworksinc.example,+63 900 194 1094,https://www.globalworksinc.example,https://www.globalworksinc.example/apply/95
96,Video Editor,NorthPoint Company,Design & Creative,"Tagum City, Philippines",Contract,No Experience,45000,55000,"Premiere Pro, Video Editing, Storytelling",Create visual materials and creative assets based on project requirements and client needs.,NorthPoint Company,hr@northpointcompany.example,+63 900 195 1095,https://www.northpointcompany.example,https://www.northpointcompany.example/apply/96
97,Livestock Worker,BrightStar Solutions,Agriculture,"Tagum City, Philippines",Freelance,No Experience,40000,50000,"Animal Care, Farming, Safety","Assist with agricultural operations, equipment, production activities, and routine farm tasks.",BrightStar Solutions,hr@brightstarsolutions.example,+63 900 196 1096,https://www.brightstarsolutions.example,https://www.brightstarsolutions.example/apply/97
98,Farm Supervisor,Golden Bridge Corp.,Agriculture,"General Santos, Philippines",Part-time,Mid Level,23000,33000,"Agriculture, Leadership, Farm Management","Assist with agricultural operations, equipment, production activities, and routine farm tasks.",Golden Bridge Corp.,hr@goldenbridgecorp.example,+63 900 197 1097,https://www.goldenbridgecorp.example,https://www.goldenbridgecorp.example/apply/98
99,Delivery Driver,BlueSky Holdings,Transportation,"Iloilo City, Philippines",Freelance,Mid Level,40000,50000,"Driving, Navigation, Customer Service","Support transportation and delivery operations while maintaining safety, schedules, and accurate records.",BlueSky Holdings,hr@blueskyholdings.example,+63 900 198 1098,https://www.blueskyholdings.example,https://www.blueskyholdings.example/apply/99
100,Auditor,Metro Business Group,Accounting & Finance,"Cagayan de Oro, Philippines",Full-time,Junior,41000,49000,"Auditing, Accounting, Financial Reporting","Handle financial records, prepare reports, and support accurate and organized accounting operations.",Metro Business Group,hr@metrobusinessgroup.example,+63 900 199 1099,https://www.metrobusinessgroup.example,https://www.metrobusinessgroup.example/apply/100
101,Pharmacist,FutureTech Labs,Healthcare,"General Santos, Philippines",Freelance,Junior,13000,28000,"Pharmacy, Medication, Patient Counseling","Provide professional healthcare support, assist patients, and maintain accurate records while following safety procedures.",FutureTech Labs,hr@futuretechlabs.example,+63 900 200 1100,https://www.futuretechlabs.example,https://www.futuretechlabs.example/apply/101
102,High School Teacher,Central Retail Group,Education,"Surigao City, Philippines",Part-time,Mid Level,25000,35000,"Teaching, Classroom Management, Communication","Support student learning through lessons, activities, assessment, and effective communication.",Central Retail Group,hr@centralretailgroup.example,+63 900 201 1101,https://www.centralretailgroup.example,https://www.centralretailgroup.example/apply/102
103,Marketing Assistant,FutureTech Labs,Marketing,"Butuan City, Philippines",Contract,Junior,51000,61000,"Marketing, Social Media, Communication","Support marketing campaigns, create content, analyze audiences, and help improve brand visibility.",FutureTech Labs,hr@futuretechlabs.example,+63 900 202 1102,https://www.futuretechlabs.example,https://www.futuretechlabs.example/apply/103
104,Web Developer,NorthPoint Company,Information Technology,"Manila, Philippines",Part-time,No Experience,27000,42000,"HTML, CSS, JavaScript","Develop, maintain, and improve technology solutions while working with the team on software and technical projects.",NorthPoint Company,hr@northpointcompany.example,+63 900 203 1103,https://www.northpointcompany.example,https://www.northpointcompany.example/apply/104
105,Construction Worker,Citywide Solutions,Construction,"Iloilo City, Philippines",Part-time,Mid Level,54000,69000,"Construction, Safety, Manual Labor",Assist with construction projects while following workplace safety standards and project instructions.,Citywide Solutions,hr@citywidesolutions.example,+63 900 204 1104,https://www.citywidesolutions.example,https://www.citywidesolutions.example/apply/105
106,Database Administrator,Citywide Solutions,Information Technology,"Manila, Philippines",Full-time,Junior,26000,41000,"SQL, MySQL, Database Management","Develop, maintain, and improve technology solutions while working with the team on software and technical projects.",Citywide Solutions,hr@citywidesolutions.example,+63 900 205 1105,https://www.citywidesolutions.example,https://www.citywidesolutions.example/apply/106
107,Executive Assistant,Evergreen Services,Administration,"Cagayan de Oro, Philippines",Contract,Experienced,36000,51000,"Scheduling, Communication, Organization","Provide administrative support, organize documents, coordinate schedules, and assist with daily office operations.",Evergreen Services,hr@evergreenservices.example,+63 900 206 1106,https://www.evergreenservices.example,https://www.evergreenservices.example/apply/107
108,Market Researcher,NorthPoint Company,Marketing,"Iloilo City, Philippines",Contract,Mid Level,48000,58000,"Research, Data Analysis, Survey Design","Support marketing campaigns, create content, analyze audiences, and help improve brand visibility.",NorthPoint Company,hr@northpointcompany.example,+63 900 207 1107,https://www.northpointcompany.example,https://www.northpointcompany.example/apply/108
109,Content Creator,Metro Business Group,Marketing,"General Santos, Philippines",Contract,Junior,28000,36000,"Content Creation, Social Media, Writing","Support marketing campaigns, create content, analyze audiences, and help improve brand visibility.",Metro Business Group,hr@metrobusinessgroup.example,+63 900 208 1108,https://www.metrobusinessgroup.example,https://www.metrobusinessgroup.example/apply/109
110,Truck Driver,GlobalWorks Inc.,Transportation,"Cagayan de Oro, Philippines",Contract,No Experience,47000,55000,"Driving, Vehicle Safety, Logistics","Support transportation and delivery operations while maintaining safety, schedules, and accurate records.",GlobalWorks Inc.,hr@globalworksinc.example,+63 900 209 1109,https://www.globalworksinc.example,https://www.globalworksinc.example/apply/110
111,Photographer,Prime Services,Design & Creative,"Cagayan de Oro, Philippines",Freelance,Junior,50000,60000,"Photography, Lightroom, Composition",Create visual materials and creative assets based on project requirements and client needs.,Prime Services,hr@primeservices.example,+63 900 210 1110,https://www.primeservices.example,https://www.primeservices.example/apply/111
112,Data Analyst,GlobalWorks Inc.,Information Technology,"Cagayan de Oro, Philippines",Contract,Entry Level,35000,43000,"SQL, Excel, Power BI","Develop, maintain, and improve technology solutions while working with the team on software and technical projects.",GlobalWorks Inc.,hr@globalworksinc.example,+63 900 211 1111,https://www.globalworksinc.example,https://www.globalworksinc.example/apply/112
113,Graphic Designer,Pacific Horizon Corp.,Design & Creative,"Manila, Philippines",Part-time,Junior,14000,19000,"Photoshop, Illustrator, Graphic Design",Create visual materials and creative assets based on project requirements and client needs.,Pacific Horizon Corp.,hr@pacifichorizoncorp.example,+63 900 212 1112,https://www.pacifichorizoncorp.example,https://www.pacifichorizoncorp.example/apply/113
114,IT Support Specialist,NorthPoint Company,Information Technology,"Butuan City, Philippines",Part-time,Mid Level,18000,23000,"Windows, Networking, Troubleshooting","Develop, maintain, and improve technology solutions while working with the team on software and technical projects.",NorthPoint Company,hr@northpointcompany.example,+63 900 213 1113,https://www.northpointcompany.example,https://www.northpointcompany.example/apply/114
115,Medical Assistant,BlueSky Holdings,Healthcare,"Butuan City, Philippines",Freelance,Mid Level,40000,50000,"Patient Care, Medical Records, Communication","Provide professional healthcare support, assist patients, and maintain accurate records while following safety procedures.",BlueSky Holdings,hr@blueskyholdings.example,+63 900 214 1114,https://www.blueskyholdings.example,https://www.blueskyholdings.example/apply/115
116,Training Coordinator,Sunrise Enterprises,Human Resources,"Manila, Philippines",Contract,Mid Level,19000,24000,"Training, Communication, Organization","Support employee-related activities including recruitment, training, records, and workplace communication.",Sunrise Enterprises,hr@sunriseenterprises.example,+63 900 215 1115,https://www.sunriseenterprises.example,https://www.sunriseenterprises.example/apply/116
117,Welder,GreenField Industries,Skilled Trades,"General Santos, Philippines",Full-time,Experienced,53000,58000,"Welding, Metal Fabrication, Safety",Perform skilled maintenance and installation tasks while following technical specifications and safety procedures.,GreenField Industries,hr@greenfieldindustries.example,+63 900 216 1116,https://www.greenfieldindustries.example,https://www.greenfieldindustries.example/apply/117
118,Farm Worker,Sunrise Enterprises,Agriculture,"Davao City, Philippines",Contract,No Experience,28000,33000,"Farming, Harvesting, Equipment","Assist with agricultural operations, equipment, production activities, and routine farm tasks.",Sunrise Enterprises,hr@sunriseenterprises.example,+63 900 217 1117,https://www.sunriseenterprises.example,https://www.sunriseenterprises.example/apply/118
119,Bookkeeper,NorthPoint Company,Accounting & Finance,"Tagum City, Philippines",Part-time,Experienced,36000,51000,"Bookkeeping, QuickBooks, Excel","Handle financial records, prepare reports, and support accurate and organized accounting operations.",NorthPoint Company,hr@northpointcompany.example,+63 900 218 1118,https://www.northpointcompany.example,https://www.northpointcompany.example/apply/119
120,Pharmacist,Community First,Healthcare,"General Santos, Philippines",Contract,Experienced,40000,50000,"Pharmacy, Medication, Patient Counseling","Provide professional healthcare support, assist patients, and maintain accurate records while following safety procedures.",Community First,hr@communityfirst.example,+63 900 219 1119,https://www.communityfirst.example,https://www.communityfirst.example/apply/120
121,UI/UX Designer,BlueSky Holdings,Design & Creative,"Baguio City, Philippines",Full-time,Experienced,18000,26000,"Figma, UI Design, UX Research",Create visual materials and creative assets based on project requirements and client needs.,BlueSky Holdings,hr@blueskyholdings.example,+63 900 220 1120,https://www.blueskyholdings.example,https://www.blueskyholdings.example/apply/121
122,Financial Analyst,Golden Bridge Corp.,Accounting & Finance,"Cagayan de Oro, Philippines",Contract,No Experience,22000,30000,"Financial Analysis, Excel, Reporting","Handle financial records, prepare reports, and support accurate and organized accounting operations.",Golden Bridge Corp.,hr@goldenbridgecorp.example,+63 900 221 1121,https://www.goldenbridgecorp.example,https://www.goldenbridgecorp.example/apply/122
123,Video Editor,Sunrise Enterprises,Design & Creative,"Iloilo City, Philippines",Full-time,Entry Level,12000,27000,"Premiere Pro, Video Editing, Storytelling",Create visual materials and creative assets based on project requirements and client needs.,Sunrise Enterprises,hr@sunriseenterprises.example,+63 900 222 1122,https://www.sunriseenterprises.example,https://www.sunriseenterprises.example/apply/123
124,Account Executive,Citywide Solutions,Sales,"Baguio City, Philippines",Freelance,Junior,14000,22000,"Sales, Negotiation, CRM","Assist customers, promote products or services, meet sales objectives, and maintain strong client relationships.",Citywide Solutions,hr@citywidesolutions.example,+63 900 223 1123,https://www.citywidesolutions.example,https://www.citywidesolutions.example/apply/124
125,Restaurant Crew,Pacific Horizon Corp.,Hospitality,"Butuan City, Philippines",Freelance,No Experience,27000,37000,"Customer Service, Food Service, Teamwork",Provide friendly customer service and help maintain efficient daily hospitality operations.,Pacific Horizon Corp.,hr@pacifichorizoncorp.example,+63 900 224 1124,https://www.pacifichorizoncorp.example,https://www.pacifichorizoncorp.example/apply/125
126,College Instructor,FutureTech Labs,Education,Remote,Part-time,Mid Level,19000,27000,"Teaching, Research, Presentation","Support student learning through lessons, activities, assessment, and effective communication.",FutureTech Labs,hr@futuretechlabs.example,+63 900 225 1125,https://www.futuretechlabs.example,https://www.futuretechlabs.example/apply/126
127,Backend Developer,Golden Bridge Corp.,Information Technology,"Davao City, Philippines",Contract,Entry Level,16000,21000,"Python, FastAPI, PostgreSQL","Develop, maintain, and improve technology solutions while working with the team on software and technical projects.",Golden Bridge Corp.,hr@goldenbridgecorp.example,+63 900 226 1126,https://www.goldenbridgecorp.example,https://www.goldenbridgecorp.example/apply/127
128,Brand Coordinator,Sunrise Enterprises,Marketing,"Butuan City, Philippines",Contract,Mid Level,20000,35000,"Branding, Marketing, Communication","Support marketing campaigns, create content, analyze audiences, and help improve brand visibility.",Sunrise Enterprises,hr@sunriseenterprises.example,+63 900 227 1127,https://www.sunriseenterprises.example,https://www.sunriseenterprises.example/apply/128
